chunk1,chunk2,vector
takes a beating,tumbles,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Boeing 787 Dreamliner,on 787 Dreamliner,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
stock,Boeing stock,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
catches fire,after fire,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
abduct,kidnapped,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Nigeria,in Nigeria,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
seven foreign workers,Seven foreign workers,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
"in West Bank , Jerusalem",in W. Bank,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
clash with,clash with,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Palestinians,Palestinians,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Israeli forces,security forces,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
killed,killed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Pakistan,in NW Pakistan,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
in bus accident,in road accident,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
12,10,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
North Korea,North Korea,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Postpones,postpones,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Family Reunions,family unions,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
with South,with South Korea,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
David Beckham,David Beckham,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Retirement,retires,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
From Soccer,from football,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Man,Man,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on National Mall,on National Mall,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Dies,dies,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Who Set Himself on Fire,who set himself ablaze,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
's Prime Minister,'s prime minister,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Shinzo Abe,Shinzo Abe,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
as Japan,Japan,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Selected,is,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
in a coma,in a coma,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Schumacher,Michael Schumacher,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
after ski accident,skiing accident,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Bradley Cooper and JJ Abrams,Bradley Cooper,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
in talks,in talks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
a Lance Armstrong biopic,Lance Armstrong,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
about filming,to play,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
horsemeat scandal,over horse meat scandal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
EU ministers,EU ministers,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Thai opposition party,Thai opposition,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
general election,election boycott,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
in Seemandhra,in Seemandhra,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to hospital,in hospital,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Jagan Reddy,Jagan,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
continues,continues,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
power crisis,blackout,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
as Maracana re-opens,as Maracana re-opens,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
by England,by England,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
2-2,2-2,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Brazil,Brazil,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
warns against,weighs into,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
George W. Bush,George W Bush,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
bitter immigration debate,immigration debate,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Hundreds,Hundreds,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of Bangladesh clothes factory workers,in Bangladesh factory,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
ill,sick,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
conducts,launches,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on Syria,against Syria,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Israel,Israel,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
airstrike,new airstrike,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
Around 100 dead or injured,Hundreds dead or injured,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
after China earthquake,in China quake,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
2 French Journalists,Two French journalists,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Killed,killed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Mali,in Mali,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in collapsed Japan tunnel,from Japan tunnel,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
ablaze,left burning,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Vehicles,Vehicles,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
attack,attack,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Islamists,Islamists,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
north Mali city,in Gao,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
fiscal cliff deal,on `` fiscal cliff '',"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
approves,reached,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
higher,higher,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
China stocks,China stocks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
close,close,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
convicted,Fined,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
of tax evasion,in Italian Tax Case,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
Dolce and Gabbana,Dolce and Gabbana,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on Syrian chemical arms,over Syria chemical claims,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
UK alert,West,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
in plane crash,in plane crash,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Mexican singer Jenni Rivera,Jenni Rivera,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Death toll,Death toll,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
climbs,rises,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Indonesia boat sinking,in Indonesia boat capsize,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to 15,to 11,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
preliminary results,in initial Iran count,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
Rouhani,Rouhani,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
leads,leads,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
before pro-Morsi protests,for massive protests,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
security,bracing,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Egypt,Egypt,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
hits,climbs,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
death toll,death toll,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Bangladesh building collapse,Bangladesh building-collapse,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
362,to 580,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
2 dead,2 dead,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
2 injured,2 hurt,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Nevada middle school shooting,in middle school shooting,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
mixed sex schools ban,in mixed-sex school ` ban ',"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Hamas,Hamas,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Russia,Russia,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
gives,gives,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to American adoption ban,to adoption ban,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
initial OK,initial approval,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Among 7 Dead,among 7 dead,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
After Florida Apartment Shooting,after Fla. apartment shootout,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Gunman,Gunman,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the deaths,The deaths,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to the police,by police,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
New information,after they received information,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
of Princess Diana and Dodi Fayed,of Princess Diana and Dodi Al Fayed,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
's death,Diana and Fayed death info,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
against Pakistan,against Pakistan,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
pledges,promises,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Narendra Modi,'s Modi,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
tough stand,tough stance,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Boy Scouts,Boy Scouts,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
decision,vote,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
delay,delays,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
gays,on gays,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on admitting,on lifting,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
0.26 pc,1.53 %,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Tokyo stocks,Tokyo stocks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
close down,close down,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
USA,U.S.,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
expels,expels,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Venezuela diplomats,Venezuelan diplomats,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
warns,warns,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
record profits,13 % rise,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
Ryanair,Ryanair,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
reports,reports,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
this year,this year,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
growth,of slower growth,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Opposition leaders,Cambodia opposition leaders,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
Commonwealth summit,Commonwealth summit,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Indian media,Indian PM,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
gay marriage bill,gay marriage,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
backs,backs,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Yvette Cooper,White House,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
killed,9 Dead,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
in new Darfur tribal clashes,in New Darfur Tribal Clash,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
after deadly Bangladesh building collapse,as Bangladesh building toll,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
arrested,arrested,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
8,Four,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Afghans,Afghan District Governor,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
Taliban,To Taliban,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
divided,divided,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Afghanistan,in Afghanistan,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
17 civilians,10 police,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
kill,kill,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Taliban attacks,Series of attacks,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Texas residents,Residents,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
after deadly blast,to Texas blast site,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Mali,Mali,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
for president,After Presidential Runoff,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
to vote,Votes,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Central African Republic president,Central African Republic President,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
overthrown,stepping down,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
North Korean nuclear test,controversial third nuclear test,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
in Russian coal mine blast,in Russia coal mine blast,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
18,Ten,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
trapped,killed,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Blizzard hammers,Blizzard wallops,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
U.S. Northeast,US Northeast,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
hits,shakes,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
6.9 magnitude earthquake,5.6 magnitude earthquake,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
New Zealand,Iran,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Daily Press Briefing,Daily Press Briefing,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
South Sudan,Syria,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
French parliament,Russian parliament,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Manning,Ariel Castro,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
in prison,in prison,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
sentenced,sentenced,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
to 35 years,"to 1,000 years","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
lower,higher,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
China stocks,China stocks,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
on Friday,on Wednesday,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
close,close,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Texas fertilizer plant blast,of Texas fertiliser plant blast,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Syria,Syria,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
the U.S.,US,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
chemical weapons,chemical weapons,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
reiterates,announces,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
to phase out,to change,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
plan,plans,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
polymer notes,polymer Naira notes,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
India gang-rape victim,Indian rape victim,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Yacimovich,Israel,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
to approve,agrees,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Palestinian prisoners,104 Palestinian prisoners,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
release,to free,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
over settlement plans,over settlements,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Israeli envoys,Israeli envoy,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
summoned,summons,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Obama,in Obama,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in State of the Union,'s State of the Union speech,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
convicted,jail time,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Kosovo organ trafficking case,in organ trafficking case,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Five,3,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
kills,kill,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Iraq,in Iraq,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of bombings,Car bombs,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
15,49,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
kill,kill,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
nine people,6 soldiers,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
in northwest Pakistan,in northwest Pakistan,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
after deadly Bangladesh building collapse,after Bangladesh building collapse,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
Snowden,Snowden,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
against protesters,about protests,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
kill,kills,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in southern Iraq,in northern Iraq,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
8,14,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
2 car bombs,Car bombing,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]"
7 August 2013,11 April 2013,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
Pictures of the day,Pictures of the day,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Red panda,Missing red panda,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
from National Zoo,to National Zoo,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
vanishes,returned,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]"
Taiwan,SW Pakistan,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
hits,hits,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
6.3-magnitude earthquake,7.7-magnitude earthquake,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Heats Up,soar,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
Google and IBM Post Strong Earnings,on strong earnings,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
Tech Sector,Google shares,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
's presidential candidates,as presidential candidate,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
kills,kill,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Car bombing,Car bombings,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
in Damascus,in Iraqi capital,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
53,13 civilians,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
Syria,Iraq,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
protests,at protesters,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]"
in Istanbul,in Istanbul,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Turkish PM,Turkish police,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Start,starts,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
of San Fermin bull-running festival,San Fermin bull-running festival,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
Former LAPD officer,Former CIA officer,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
Pakistan court,Pakistan-UN report,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
50th anniversary,On 50th anniversary,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
's death,of JFK death,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
remembered,its first memorial,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]"
Israel,Gov ' t committee,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
frees,release,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
